jj=292, kk=393, dout(394)=-0.189189+j-0.088685
jj=293, kk=73, dout(74)=-0.051075+j0.067071
jj=294, kk=329, dout(330)=0.156287+j-0.076906
jj=295, kk=201, dout(202)=-0.302964+j-0.026931
jj=296, kk=457, dout(458)=0.136370+j-0.090861
jj=297, kk=41, dout(42)=-0.047435+j-0.054476
jj=298, kk=297, dout(298)=0.062966+j-0.027513
jj=299, kk=169, dout(170)=-0.027531+j0.062466
jj=300, kk=425, dout(426)=-0.068274+j-0.079850
jj=301, kk=105, dout(106)=-0.004501+j-0.039171
jj=302, kk=361, dout(362)=0.044789+j-0.105239
jj=303, kk=233, dout(234)=-0.221236+j0.031673
jj=304, kk=489, dout(490)=-0.005431+j0.010183
jj=305, kk=25, dout(26)=-0.023834+j0.008457
jj=306, kk=281, dout(282)=0.132986+j0.170880
jj=307, kk=153, dout(154)=0.209630+j-0.010118
jj=308, kk=409, dout(410)=-0.013941+j0.061443
jj=309, kk=89, dout(90)=-0.220321+j-0.010740
jj=310, kk=345, dout(346)=0.067071+j0.182329
jj=311, kk=217, dout(218)=-0.215168+j0.001571
jj=312, kk=473, dout(474)=-0.012084+j0.086329
jj=313, kk=57, dout(58)=0.126181+j-0.013367
jj=314, kk=313, dout(314)=0.108226+j0.070070
jj=315, kk=185, dout(186)=0.262695+j-0.117750
jj=316, kk=441, dout(442)=0.292007+j0.037692
jj=317, kk=121, dout(122)=0.269928+j-0.021112
jj=318, kk=377, dout(378)=0.022829+j-0.006580
jj=319, kk=249, dout(250)=-0.032669+j-0.022083
jj=320, kk=505, dout(506)=0.176518+j0.077332
jj=321, kk=5, dout(6)=0.158419+j0.441545
jj=322, kk=261, dout(262)=0.282389+j-0.000334
jj=323, kk=133, dout(134)=-0.219637+j0.010618
jj=324, kk=389, dout(390)=0.150290+j-0.010729
jj=325, kk=69, dout(70)=-0.018415+j0.024647
jj=326, kk=325, dout(326)=-0.128295+j-0.005478
jj=327, kk=197, dout(198)=0.177573+j0.004871
jj=328, kk=453, dout(454)=-0.035396+j-0.028205
jj=329, kk=37, dout(38)=-0.099994+j0.048367
jj=330, kk=293, dout(294)=-0.002963+j-0.002269
jj=331, kk=165, dout(166)=-0.025894+j0.006626
jj=332, kk=421, dout(422)=-0.108011+j-0.016439
jj=333, kk=101, dout(102)=0.007330+j0.015586
jj=334, kk=357, dout(358)=0.028308+j-0.007269
jj=335, kk=229, dout(230)=-0.296474+j0.001223
jj=336, kk=485, dout(486)=-0.245786+j-0.062626
jj=337, kk=21, dout(22)=-0.100577+j0.087718
jj=338, kk=277, dout(278)=0.077433+j-0.002229
jj=339, kk=149, dout(150)=-0.028751+j0.008039
jj=340, kk=405, dout(406)=-0.048667+j-0.014746
jj=341, kk=85, dout(86)=-0.132458+j0.019150
jj=342, kk=341, dout(342)=0.164766+j-0.007028
jj=343, kk=213, dout(214)=-0.021700+j0.003693
jj=344, kk=469, dout(470)=0.010502+j-0.039895
jj=345, kk=53, dout(54)=0.005713+j0.032614
jj=346, kk=309, dout(310)=-0.095698+j-0.003762
jj=347, kk=181, dout(182)=-0.213399+j0.005243
jj=348, kk=437, dout(438)=-0.006284+j-0.021418
jj=349, kk=117, dout(118)=0.254099+j0.012426
jj=350, kk=373, dout(374)=-0.230124+j-0.009332
jj=351, kk=245, dout(246)=-0.058309+j0.002065
jj=352, kk=501, dout(502)=0.004784+j-0.147521
jj=353, kk=13, dout(14)=0.139448+j0.146998
jj=354, kk=269, dout(270)=0.216570+j-0.002067
jj=355, kk=141, dout(142)=0.060441+j0.010409
jj=356, kk=397, dout(398)=-0.270936+j-0.011346
jj=357, kk=77, dout(78)=0.105821+j0.021145
jj=358, kk=333, dout(334)=-0.116354+j-0.004887
jj=359, kk=205, dout(206)=0.109418+j0.002538
jj=360, kk=461, dout(462)=-0.124056+j-0.031255
jj=361, kk=45, dout(46)=-0.080314+j0.038428
jj=362, kk=301, dout(302)=0.303426+j-0.002031
jj=363, kk=173, dout(174)=-0.123379+j0.006040
jj=364, kk=429, dout(430)=-0.091706+j-0.019694
jj=365, kk=109, dout(110)=0.196765+j0.013627
jj=366, kk=365, dout(366)=0.068402+j-0.008138
jj=367, kk=237, dout(238)=-0.053451+j0.001362
jj=368, kk=493, dout(494)=0.004358+j-0.089808
jj=369, kk=29, dout(30)=-0.009453+j0.062547
jj=370, kk=285, dout(286)=0.116104+j-0.001514
jj=371, kk=157, dout(158)=0.029858+j0.008517
jj=372, kk=413, dout(414)=0.162456+j-0.015638
jj=373, kk=93, dout(94)=0.049211+j0.017052
jj=374, kk=349, dout(350)=0.000737+j-0.006967
jj=375, kk=221, dout(222)=0.106820+j0.003069
jj=376, kk=477, dout(478)=-0.158072+j-0.049252
jj=377, kk=61, dout(62)=0.202660+j0.027265
jj=378, kk=317, dout(318)=-0.091295+j-0.003911
jj=379, kk=189, dout(190)=0.031351+j0.005574
jj=380, kk=445, dout(446)=-0.022545+j-0.023571
jj=381, kk=125, dout(126)=-0.087866+j0.012235
jj=382, kk=381, dout(382)=-0.032727+j-0.009966
jj=383, kk=253, dout(254)=0.059596+j0.001129
jj=384, kk=509, dout(510)=0.125191+j-0.443043
jj=385, kk=3, dout(4)=0.124458+j0.441406
jj=386, kk=259, dout(260)=0.059376+j-0.000904
jj=387, kk=131, dout(132)=-0.031628+j0.010429
jj=388, kk=387, dout(388)=-0.088341+j-0.012325
jj=389, kk=67, dout(68)=-0.022888+j0.024425
jj=390, kk=323, dout(324)=0.031146+j-0.005348
jj=391, kk=195, dout(196)=-0.091983+j0.003786
jj=392, kk=451, dout(452)=0.204413+j-0.028227
jj=393, kk=35, dout(36)=-0.155663+j0.048127
jj=394, kk=291, dout(292)=0.105008+j-0.002541
jj=395, kk=163, dout(164)=0.001412+j0.006935
jj=396, kk=419, dout(420)=0.048809+j-0.016533
jj=397, kk=99, dout(100)=0.162166+j0.015973
jj=398, kk=355, dout(356)=0.029446+j-0.008544
jj=399, kk=227, dout(228)=0.116576+j0.002462
jj=400, kk=483, dout(484)=-0.010283+j-0.062649
jj=401, kk=19, dout(20)=0.002755+j0.088223
jj=402, kk=275, dout(276)=-0.051862+j-0.001163
jj=403, kk=147, dout(148)=0.068931+j0.008975
jj=404, kk=403, dout(404)=0.195198+j-0.013370
jj=405, kk=83, dout(84)=-0.090830+j0.019451
jj=406, kk=339, dout(340)=-0.123708+j-0.007067
jj=407, kk=211, dout(212)=0.303720+j0.004252
jj=408, kk=467, dout(468)=-0.081227+j-0.039502
jj=409, kk=51, dout(52)=-0.122551+j0.032377
jj=410, kk=307, dout(308)=0.109240+j-0.002650
jj=411, kk=179, dout(180)=-0.115247+j0.005126
jj=412, kk=435, dout(436)=0.103574+j-0.021591
jj=413, kk=115, dout(116)=-0.270030+j0.012243
jj=414, kk=371, dout(372)=0.061618+j-0.010639
jj=415, kk=243, dout(244)=0.216342+j0.001453
jj=416, kk=499, dout(500)=0.138528+j-0.147439
jj=417, kk=11, dout(12)=0.005247+j0.146329
jj=418, kk=267, dout(268)=-0.058525+j-0.000937
jj=419, kk=139, dout(140)=-0.229682+j0.008712
jj=420, kk=395, dout(396)=0.252598+j-0.011625
jj=421, kk=75, dout(76)=-0.005883+j0.023251
jj=422, kk=331, dout(332)=-0.212858+j-0.005332
